Date,Description,Amount
2026-09-14,STRIPE PAYOUT,1240.00
2026-09-14,SQUARE PAYOUT,386.50
2026-09-15,ADOBE CREATIVE CLOUD,-59.99
2026-09-15,SHELL FUEL,-48.20
2026-09-16,CLIENT PAYMENT HARBOR DENTAL INV 1042,1800.00
2026-09-16,GOOGLE WORKSPACE,-14.00
2026-09-17,COSTCO WHOLESALE,-212.37
2026-09-17,TRANSFER TO SAVINGS,-500.00
2026-09-18,STRIPE PAYOUT,640.00
2026-09-18,META ADS,-75.00
2026-09-18,STRIPE FEE REFUND,2.10
2026-09-19,ATM WITHDRAWAL,-100.00
2026-09-19,STUDIO RENT,-950.00
2026-09-20,SQ *KAFE LUNA,-18.40
